scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Pouteria gomphiifolia,(Mart. ex Miq.) Radlk.,2884863,1687227,null,LC,
Pouteria guianensis,Aubl.,2884510,1403512,null,LC,
Pouteria jariensis,Pires & T.D.Penn.,2884503,1403514,null,,
Pouteria juruana,K.Krause,2884365,1407317,null,EN,
Pouteria laevigata,(Mart.) Radlk.,2884670,1405442,null,LC,
Pouteria latianthera,T.D.Penn.,2884344,1687237,null,LC,
Pouteria lucens,(Mart. & Miq.) Radlk.,2884195,1687242,null,VU,
Pouteria macrocarpa,(Mart.) D.Dietr.,2884504,1405969,null,VU,
Pouteria macrophylla,(Lam.) Eyma,2884481,1403515,null,LC,
Pouteria manaosensis,(Aubrév. & Pellegr.) T.D.Penn.,2884145,1687247,null,,
Pouteria maxima,T.D.Penn.,2884154,1400826,null,VU,
Pouteria minima,T.D.Penn.,2884177,1687253,null,EN,
Pouteria multiflora,(A.DC.) Eyma,2884744,1403517,null,,Bullytree; Penny-piece
Pouteria oblanceolata,Pires,2884862,1403519,null,LC,
Pouteria opposita,(Ducke) T.D.Penn.,2884288,1687259,null,,
Pouteria oppositifolia,(Ducke) Baehni,2884252,1687260,null,VU,
Pouteria pachyphylla,T.D.Penn.,2884898,1687266,null,VU,
Pouteria pallens,T.D.Penn.,2884846,1687267,null,LC,
Pouteria pariry,(Ducke) Baehni,2884573,1687270,null,LC,
Pouteria peruviensis,(Aubrév.) Bernardi,2884891,1687274,null,VU,
Pouteria petiolata,T.D.Penn.,2884723,1403520,null,VU,
Pouteria platyphylla,(A.C.Sm.) Baehni,2884374,1400829,null,LR/nt,
Pouteria plicata,T.D.Penn.,2884361,1687278,null,LC,
Pouteria procera,(Mart.) K.Hammer,2884909,1687281,null,LC,
Pouteria pubescens,(Aubrév. & Pellegr.) T.D.Penn.,2884526,1687284,null,VU,
Pouteria resinosa,T.D.Penn.,2884947,1687289,null,EN,
Pouteria reticulata,(Engl.) Eyma,2884054,1403521,null,LC,
Pouteria retinervis,T.D.Penn.,2884901,1403522,null,LR/cd,
Pouteria rigida,(Mart. & Eichler) Radlk.,2884534,1406159,null,LC,
Pouteria rostrata,(Huber) Baehni,2884141,1687296,null,LC,
Pouteria sapota,(Jacq.) H.E.Moore & Stearn,2884162,1409951,null,LC,Naseberry; Mamey; Mamey sapote; Mammee sapote; Marmalade-plum; Marmalade-tree; Sapote; Mammey sapote; Marmelade plum; Mammee sapota
Pouteria stipulifera,T.D.Penn.,2884847,1687312,null,DD,
Pouteria stylifera,T.D.Penn.,2884784,1687313,null,,
Pouteria surumuensis,Baehni,2884433,1404152,null,LC,
Pouteria tarumanensis,Pires,2884140,1687318,null,LC,
Pouteria torta,(Mart.) Radlk.,2884812,1403525,null,LC,
Pouteria venosa,(Mart.) Baehni,2884608,1405594,null,LC,
Pouteria vernicosa,T.D.Penn.,2884494,1687325,null,LC,
Pouteria virescens,Baehni,2884293,1403527,null,LC,
Pouteria williamii,(Aubrév. & Pellegr.) T.D.Penn.,2884969,1405596,null,,
Pradosia cochlearia,(Lecomte) T.D.Penn.,2883851,1405598,null,,
Pradosia decipiens,Ducke,2883871,1687334,null,LC,
Pradosia lahoziana,Terra-Araujo,7721702,1730931,null,CR,
Pradosia schomburgkiana,(A.DC.) Cronquist,2883859,1406162,null,LC,Wild Liquorice
Pradosia subverticillata,Ducke,2883845,1406951,null,LC,
Pradosia surinamensis,(Eyma) T.D.Penn.,2883901,1405605,null,LC,
Pradosia verticillata,Ducke,2883903,1405445,null,DD,
Protium altsonii,Sandwith,3992566,1405323,null,LC,
Protium amazonicum,(Cuatrec.) Daly,3992544,1486175,null,LC,
Protium apiculatum,Swart,3992474,1407671,null,LC,
Protium aracouchini,(Aubl.) Marchand,7286738,1407672,null,LC,
Protium calanense,Cuatrec.,3994040,1486184,null,LC,
Protium calendulinum,Daly,3994031,1400445,null,LC,
Protium carnosum,A.C.Sm.,3994002,1733052,null,LC,
Protium crassipetalum,Cuatrec.,3993719,1405986,null,LC,
Protium decandrum,(Aubl.) Marchand,7286839,1407682,null,LC,
Protium demerarense,Swart,3993564,1403893,null,,
