scientific_name,author,gbif_id,plantnet_id,iucn_category,common_names
Dacryodes hopkinsii,Daly,7946876,1831667,LC,
Dacryodes negrensis,Daly & M.C.Martínez,3993947,1486159,LC,
Dacryodes nitens,Cuatrec.,3993914,1403894,LC,
Dacryodes roraimensis,Cuatrec.,3993746,1405985,LC,
Dacryodes sclerophylla,Cuatrec.,3993686,1486168,,
Dalbergia frutescens,(Vell.) Britton,2968824,1576212,LC,
Dalbergia inundata,Spruce ex Benth.,2968892,1726164,LC,
Dalbergia riedelii,(Benth.) Sandwith,2968670,1576300,LC,
Dalbergia riparia,(Mart. ex Benth.) Benth.,2968619,1726165,LC,
Dalbergia spruceana,Benth.,2968850,1734549,VU,Amazon Rosewood
Dalechampia scandens,L.,3055569,1379563,LC,Spurgecreeper
Deguelia amazonica,Killip,2969015,1726166,LC,
Deguelia scandens,Aubl.,2960243,1576618,LC,
Deguelia spruceana,(Benth.) A.M.G.Azevedo & R.A.Camargo,2960236,1735170,,
Delonix regia,(Bojer ex Hook.) Raf.,2956176,1363784,LC,Flamboyant; Royal poinciana; Flametree; Flame-of-the-forest; Gold Mohar; Gul Mahor; Poinciana; Flamboyan; Flamboyant Tree; July Tree; Krishnochura; Peacock-flower; Flamboyant poinciana; Fire tree; Flame of the forest; Pine; Phoenix Tree; May Flower; Pride of Barbados; తురాయి; Sein-pan-gyi; Mukarabani
Dendrobangia boliviana,Rusby,3596663,1401875,LC,
Dendropanax cuneatus,(DC.) Decne. & Planch.,3034961,1467200,LC,
Dendropanax palustris,(Ducke) Harms,3035165,1467247,,
Desmoscelis villosa,(Aubl.) Naudin,3870308,1402166,LC,
Dialium guianense,(Aubl.) Sandwith,2971008,1400545,LC,Ironwood
Dichapetalum odoratum,Baill.,4196071,1535339,LC,
Dichapetalum spruceanum,Baill.,4195857,1535351,LC,
Diclidanthera penduliflora,Mart.,7293509,1656841,,
Diclinanona calycina,(Diels) R.E.Fr.,3158301,1455042,LC,
Dicorynia paraensis,Benth.,2944650,1400549,LC,Angelique
Dicymbe puncticulosa,R.S.Cowan,3975917,1734572,EN,
Dicypellium manausense,W.A.Rodrigues,4179102,1566183,CR,
Didymopanax ciliatifolius,(Fiaschi & Frodin) Fiaschi & G.M.Plunkett,11084127,1841391,NT,
Didymopanax morototoni,(Aubl.) Decne. & Planch.,3038523,1383810,LC,Yagrumo Macho; Matchwood pornai; Matchwood
Didymopanax umbrosus,(Frodin & Fiaschi) Fiaschi & G.M.Plunkett,10988703,1841394,LC,
Dimorphandra campinarum,Ducke,2974263,1577117,LC,
Dimorphandra caudata,Ducke,2974273,1577118,LC,
Dimorphandra coccinea,Ducke,2974291,1404796,,
Dimorphandra cuprea,Sprague & Sandwith,2974277,1407102,LC,
Dimorphandra ignea,Ducke,2974287,1404801,,
Dimorphandra multiflora,Ducke,2974289,1406977,,
Dimorphandra parviflora,Spruce ex Benth.,2974283,1734574,LC,
Dimorphandra pennigera,Tul.,2974286,1577129,LC,
